eval_id,started_at,state,months_paid,resets,trades_taken,passed_at,ended_at
1,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
2,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
3,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
4,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
5,2020-01-01 00:00:00,funded,2,0,144,2020-02-06 06:30:00,2020-02-07 00:00:00
6,2020-03-01 00:00:00,funded,1,0,9,2020-03-02 23:00:00,2020-05-01 00:00:00
7,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-05-09 00:00:00
8,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-06-01 00:00:00
9,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-06-01 00:00:00
10,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-06-01 00:00:00
11,2020-05-01 00:00:00,funded,1,0,24,2020-05-08 04:00:00,2020-06-01 00:00:00
12,2020-06-01 00:00:00,funded,3,2,135,2020-08-07 11:00:00,2020-08-08 00:00:00
13,2020-07-01 00:00:00,funded,2,1,87,2020-08-07 11:00:00,2020-08-08 00:00:00
14,2020-08-01 00:00:00,funded,1,0,24,2020-08-07 11:00:00,2020-08-08 00:00:00
15,2020-09-01 00:00:00,funded,3,2,56,2020-11-04 05:00:00,2020-11-05 00:00:00
16,2020-10-01 00:00:00,funded,2,1,31,2020-11-04 05:00:00,2020-11-05 00:00:00
17,2020-10-06 00:00:00,funded,4,2,125,2021-01-06 18:00:00,2021-01-07 00:00:00
18,2020-10-06 00:00:00,funded,4,2,125,2021-01-06 18:00:00,2021-01-07 00:00:00
19,2020-10-06 00:00:00,funded,4,2,125,2021-01-06 18:00:00,2021-01-07 00:00:00
20,2020-11-05 00:00:00,funded,3,1,126,2021-01-06 18:00:00,2021-01-07 00:00:00
21,2020-11-05 00:00:00,funded,3,1,126,2021-01-06 18:00:00,2021-01-07 00:00:00
22,2021-01-07 00:00:00,funded,1,0,12,2021-01-08 23:00:00,2021-01-09 00:00:00
23,2021-01-07 00:00:00,funded,1,0,12,2021-01-08 23:00:00,2021-01-09 00:00:00
24,2021-01-07 00:00:00,funded,1,0,12,2021-01-08 23:00:00,2021-01-09 00:00:00
25,2021-02-01 00:00:00,funded,1,0,40,2021-02-11 09:30:00,2021-02-12 00:00:00
26,2021-02-19 00:00:00,funded,5,4,151,2021-07-02 20:00:00,2021-07-03 00:00:00
27,2021-02-19 00:00:00,funded,5,4,151,2021-07-02 20:00:00,2021-07-03 00:00:00
28,2021-02-19 00:00:00,funded,5,4,151,2021-07-02 20:00:00,2021-07-03 00:00:00
29,2021-02-27 00:00:00,funded,5,4,217,2021-07-06 17:30:00,2021-07-07 00:00:00
30,2021-02-27 00:00:00,funded,5,4,217,2021-07-06 17:30:00,2021-07-07 00:00:00
31,2021-07-03 00:00:00,funded,3,1,178,2021-09-08 04:00:00,2021-11-01 00:00:00
