account_id,cohort_month,activated_at,alive,died_at,death_reason,death_equity_usd,death_trade_key,lifetime_days,trades_taken,wins,losses,gross_pnl_usd,commission_usd,payout_count,requests_blocked,requests_withheld,withdrawn_usd,received_usd,months_accrued,entitlement_accrued_usd,entitlement_outstanding_usd,first_withdrawal_at,equity_profit_usd,balance_usd,max_equity_profit_usd,min_equity_profit_usd,peak_profit_usd,floor_profit_usd,headroom_usd
1,2020-03,2020-03-01 00:00:00,False,2020-03-12 21:06:40,intratrade_excursion,-524.0,RR1.00:18-19:15:58,11,61,22,38,-196.0,63.0,0,0,0,0.0,0.0,0,0.0,0.0,,-259.0,,1158.75,-524.0,1202.0,-298.0,
2,2020-03,2020-03-13 00:00:00,False,2020-03-18 01:37:40,intratrade_excursion,-988.35,RR1.00:19-20:16:62,5,8,3,4,-653.0,7.35,0,0,0,0.0,0.0,0,0.0,0.0,,-660.35,,420.3,-988.35,642.3,-857.7,
3,2020-03,2020-03-19 00:00:00,False,2020-03-19 22:44:40,intratrade_excursion,-1413.4,RR1.00:17-18:16:66,0,9,1,7,-1032.0,8.4,0,0,0,0.0,0.0,0,0.0,0.0,,-1040.4,,180.45,-1413.4,265.0,-1235.0,
4,2020-03,2020-03-20 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-8.5,RR1.00:22-23:55:219,200,1041,447,593,4282.5,1092.0,6,1,0,3000.0,3000.0,0,0.0,0.0,2020-05-01 00:00:00,190.5,,3385.7,-67.0,3411.2,100.0,
5,2020-04,2020-04-01 00:00:00,False,2021-02-26 23:30:00,intratrade_excursion,53.2,RR1.00:17-18:78:354,331,1767,744,1022,4014.5,1854.3,4,6,0,2000.0,2000.0,0,0.0,0.0,2020-06-01 00:00:00,160.2,,2752.3,-170.6,2776.85,100.0,
6,2020-05,2020-05-01 00:00:00,False,2021-02-26 23:30:00,intratrade_excursion,21.65,RR1.00:17-18:78:354,301,1608,673,934,2816.0,1687.35,2,7,0,1000.0,1000.0,0,0.0,0.0,2020-11-01 00:00:00,128.65,,2720.75,-125.1,2745.3,100.0,
7,2020-06,2020-06-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-348.15,RR1.00:19-20:62:241,126,674,281,392,417.0,706.65,0,2,2,0.0,0.0,0,0.0,0.0,,-289.65,,1123.9,-1043.35,1164.9,-335.1,
8,2020-07,2020-07-01 00:00:00,False,2020-10-06 23:30:00,intratrade_excursion,-29.1,RR1.00:22-23:55:219,97,513,217,295,707.5,537.6,0,3,0,0.0,0.0,0,0.0,0.0,,169.9,,1785.4,-381.85,1826.4,100.0,
9,2020-08,2020-08-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-235.75,RR1.00:19-20:62:241,65,346,148,197,185.0,362.25,0,2,0,0.0,0.0,0,0.0,0.0,,-177.25,,1236.3,-235.75,1277.3,-222.7,
10,2020-09,2020-09-01 00:00:00,False,2020-10-05 20:56:40,intratrade_excursion,-563.85,RR1.00:19-20:62:241,34,178,76,101,-319.5,185.85,0,1,0,0.0,0.0,0,0.0,0.0,,-505.35,,908.2,-563.85,949.2,-550.8,
11,2020-10,2020-10-01 00:00:00,False,2020-12-14 07:13:40,intratrade_excursion,-168.75,RR1.00:2-3:94:338,74,406,161,244,294.0,425.25,0,2,0,0.0,0.0,0,0.0,0.0,,-131.25,,1336.1,-1224.85,1360.65,-139.35,
12,2020-10,2020-10-06 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-11.05,RR1.00:21-22:110:381,143,792,325,466,961.5,830.55,0,4,0,0.0,0.0,0,0.0,0.0,,130.95,,2080.0,-480.95,2104.55,100.0,
13,2020-10,2020-10-06 00:00:00,False,2021-02-26 22:59:40,intratrade_excursion,-11.05,RR1.00:21-22:110:381,143,792,325,466,961.5,830.55,0,4,0,0.0,0.0,0,0.0,0.0,,130.95,,2080.0,-480.95,2104.55,100.0,
