purchase_policy,withdrawal_policy,initial_cash_usd,monthly_contribution_usd,ongoing_net_cash_usd,terminal_received_usd,combined_net_cash_usd,owner_contributions_usd,ending_owner_cash_usd,purchase_spend_usd,accounts_bought,alive_before_terminal,cash_limited_decisions,capacity_limited_decisions,minimum_owner_cash_usd
monthly_one,daily_minimum_retain_31900,1000,0,224400.0,77887.21,302287.21,1000.0,303287.21,11600.0,58,17,21,0,0.0
monthly_one,weekly_excess_retain_31600,1000,0,232440.45,66605.65,299046.1,1000.0,300046.1,11600.0,58,17,21,0,0.0
monthly_one,monthly_minimum_retain_30000,1000,0,163900.0,138387.21,302287.21,1000.0,303287.21,11600.0,58,17,21,0,0.0
monthly_two,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,77,0,0.0
monthly_two,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,77,0,0.0
monthly_two,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,77,0,0.0
weekly_one,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0
weekly_one,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0
weekly_one,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,336,0,0.0
quarterly_one,daily_minimum_retain_31900,1000,0,91400.0,25210.36,116610.36,1000.0,117610.36,4600.0,23,6,4,0,0.0
quarterly_one,weekly_excess_retain_31600,1000,0,93923.55,22686.79,116610.34,1000.0,117610.34,4600.0,23,6,4,0,0.0
quarterly_one,monthly_minimum_retain_30000,1000,0,66900.0,49710.36,116610.36,1000.0,117610.36,4600.0,23,6,4,0,0.0
quarterly_three,daily_minimum_retain_31900,1000,0,246700.0,70964.27,317664.27,1000.0,318664.27,11800.0,59,17,8,0,0.0
quarterly_three,weekly_excess_retain_31600,1000,0,253870.84,63793.39,317664.23,1000.0,318664.23,11800.0,59,17,8,0,0.0
quarterly_three,monthly_minimum_retain_30000,1000,0,179700.0,137964.27,317664.27,1000.0,318664.27,11800.0,59,17,8,0,0.0
replace_one,daily_minimum_retain_31900,1000,0,29600.0,4899.95,34499.95,1000.0,35499.95,800.0,4,1,0,0,200.0
replace_one,weekly_excess_retain_31600,1000,0,30232.96,4266.98,34499.94,1000.0,35499.94,800.0,4,1,0,0,200.0
replace_one,monthly_minimum_retain_30000,1000,0,23700.0,10799.95,34499.95,1000.0,35499.95,800.0,4,1,0,0,200.0
replace_five,daily_minimum_retain_31900,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0
replace_five,weekly_excess_retain_31600,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0
replace_five,monthly_minimum_retain_30000,1000,0,-1000.0,0,-1000.0,1000.0,0.0,1000.0,5,0,2313,0,0.0
reinvest_50pct,daily_minimum_retain_31900,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_50pct,weekly_excess_retain_31600,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_50pct,monthly_minimum_retain_30000,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_100pct,daily_minimum_retain_31900,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_100pct,weekly_excess_retain_31600,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_100pct,monthly_minimum_retain_30000,1000,0,-200.0,0,-200.0,1000.0,800.0,200.0,1,0,0,0,800.0
reinvest_restart_50pct,daily_minimum_retain_31900,1000,0,227300.0,88635.89,315935.89,1000.0,316935.89,13600.0,68,20,0,719,200.0
reinvest_restart_50pct,weekly_excess_retain_31600,1000,0,186719.71,94347.69,281067.4,1000.0,282067.4,11600.0,58,20,0,666,200.0
reinvest_restart_50pct,monthly_minimum_retain_30000,1000,0,213500.0,163126.56,376626.56,1000.0,377626.56,14000.0,70,20,0,743,200.0
reinvest_restart_100pct,daily_minimum_retain_31900,1000,0,269100.0,73004.82,342104.82,1000.0,343104.82,16800.0,84,20,0,770,200.0
reinvest_restart_100pct,weekly_excess_retain_31600,1000,0,213511.76,94347.69,307859.45,1000.0,308859.45,18800.0,94,20,0,711,200.0
reinvest_restart_100pct,monthly_minimum_retain_30000,1000,0,240500.0,189971.51,430471.51,1000.0,431471.51,17000.0,85,20,0,930,200.0
monthly_one,daily_minimum_retain_31900,1000,200,361600.0,102711.75,464311.75,16600.0,480911.75,12000.0,60,20,0,19,800.0
monthly_one,weekly_excess_retain_31600,1000,200,373130.03,87940.55,461070.58,16600.0,477670.58,12000.0,60,20,0,19,800.0
